03CE3809,09RN3844,12 LM2566,96KK 4588,02 SO 3008,03 CE 368,11CN43,08 TN 7223,
97 MN5100,02 L3089,12 LH2701,96RN 5955,95 TS1900,02 TN166,10 CN9606,94 D6464,
02KY 190,09 LD3105,01W6002,08 L390,08MH 4120,98WH6421,95 TN7209,09 LH 690,
02 L 1035,10 LS2899,92WD5074,04 G3884,04 WX536,91 WH1438,98CE 8447,00 G2429,
03 WH659,11TN706,93KK6649,93LH7995,07WD 6845,90 WX8388,01 CE 8420,96 LK179,
10 C6556,96 MN 6916,91WX 4351,92 CE 691,95MH 8677,97 TS 9085,06 LM 324,96WX 5248,
95 D 2155,92LH 1161,95 KY 3091,05CW4020,01 CN2694,02RN6776,02 LM6806,06 LD6741,
94 KK 9806,00 CE2192,00 KE1028,92 LH 442,03 MH 9004,07 TS 2322,93 MO 6505,06 KE 6054,
11TS 5486,11 LD 7357,01 WH4949,97TS 5157,92 MO6331,11SO1753,03KK 2839,09KK9535,
03G7896,00 D 880,10OY7367,94 DL4372,97LH3859,01KY 5733,93 W 4616,93 MH 431,
04WH7191,01 WW2742,95TS6165,90SO 1836,08KE6239,92 WX 3921,09 MO 544,90LH 3746,
02WX988,97 KE 2406,94 KK 99,07MO8564,96 CN669,06 TS9735,05 CN 2193,04CW 171,
99 OY 7873,95 G4136,06 WH 5994,98 TN 3113,95WH 7506,09TS 3555,04WX2496,04LS7675,
98C1116,97KY3184,07 WX5946,04 MO2297,93 CW8360,95LK 4826,06 WW9349,96MO 1944,
96 LD 7746,98CN4588,12WX 5342,06 LM 4724,93TS8099,10 MO6118,93 MN6395,93 TN9242,
91 LH 733,07 MH8854,93 LM5032,01 W 2050,94 MH 9734,09CW 4618,10 MO5534,95 WH 7880,
91 W4425,99 LH 1264,06 TS 3466,98 KK 5300,08 MO 3606,95D 9069,10LK 8264,93 LH6894,
00RN5978,92CE 4076,94W7116,00CN 6184,04 WX 4830,94OY 2674,91L5396,91DL 3066,
95 KK 7933,07 L 3380,98 TN12,94 LS5750,11 TN5455,03 DL 4961,03 C 7228,02 WH 9941,
99 TN 9674,01 MN4851,99 CW5692,05 TS 5280,95 TS 255,91 KY 8120,10WD8745,03 KE 4952,
95 WH 7934,08 DL5175,01 SO 7415,92 SO 6806,10 L 7620,09 WD5827,97W6911,07 KK3295,
93L9053,08LD8389,99 DL 4932,93 WX 3134,97WD 9496,99 LM5049,94OY 9626,07 MN9683,
95 WH 8197,05 G 8915,98CN 8648,03KE 9734,10LS6790,91 SO3855,06 WW 8427,96 MN1625,
06 MH 3205,98 MN 5513,06G4493,03RN 3431,06 LK9216,10 LH721,96MN9481,96 W334,
96G 3286,01TS2947,08MO5320,97 L5206,96WH1021,91 D3355,96 CE 9973,97 KY 7932,
10CW 5252,96 LK 597,04CW7158,96LH7073,01 G 6509,92SO 7540,00W 9421,94LM2062,
90LM2471,95KK9781,95 MN1127,99TS5337,02 LS1864,02WX9006,08 LM8025,10WD1534,
07 LD4257,02 RN4054,11 LM4346,12 CW 5175,05 TS 2147,09 CE3835,11 WD 6595,03 D 9173,
00 LD 5872,11KE 9221,04 WX5655,95 LD 3888,91G4974,00 MH 5409,06LM5136,03 CW458,
11KE 1851,92 KY 2354,96 MN4460,96 KY2721,92KY 4792,10MN8416,96 D 9665,06 LM 9109,
03KY7829,08TS 1530,05DL 3536,08 W 9631,10G 4186,93TS2908,95 LM 9329,07 SO3262,
05 WD 8588,04 TS586,90 D9096,99 D 7888,06TN 1199,00RN3927,02 L8381,98LD8335,
91MO2494,11 WX5628,99 LS3953,97 G7883,06CE 4072,06 LK 4715,11DL108,07 CN 5256,
11CN 5034,93LK2554,90 MH 2097,08 LH 2037,11OY7379,01 LS 3988,07OY2255,08 KK 5151,
00 KK 6652,10WD 7348,96 L5496,06 TS5192,04DL5980,11TN323,97L 6045,99MH 4147,
01TN 2568,04KK 3419,10 LK 6461,02 C 5356,97CW5753,12WD 9121,03SO 3336,93 TN 4417,
07LM 4774,08SO 2709,01LD1373,96G 2201,95 LS 2542,90 CW199,02 MO 8998,92L93,
10CW8923,98 CW 9872,09TN 4106,95 KE 3181,02KK 3271,91TN6471,08CN 8095,03WX 9189,
09 W1283,93DL1240,04 RN 9968,10 C 9667,00 KY5661,92 G 6775,05MO9906,11CW 5169,
06 L3453,95KY2857,92 MN3473,91 MN 7973,11MN5513,97RN8311,93TN 3402,09CN4271,
98 WD5062,99 CW 4342,99MH5759,93WD 2653,01KK 2976,10DL 6727,99 KK1199,96OY7255,
98SO7112,03L7818,96 LS9996,01MH 1963,10 CE1772,97WH 4343,92 LH1607,00RN 6677,
12KK1181,93 MH 3689,92 LH5574,97 WH7866,97 OY 7801,06CW9535,90 G802,01TN3333,
94 CE2179,91 KK7500,93TN4414,97LS 5455,06CE6098,11DL 2776,06 G9725,93D 8015,
00 CN4847,94 RN 4663,09 L 5211,94MO 9185,90MO 7546,03 MH7344,01 DL 2752,91 W 7195,
08WX 6696,06WW 2280,08WX 3935,94 TS5802,11 RN 9339,10 RN5208,11LK7723,01 SO3781,
03 LK2587,10 RN9839,10 WH1405,04 C6332,05 CW 5604,93TS 1104,96LD 9400,08 W 6572,
07 LD8637,92LM3040,99 KE1259,11G2039,02 W7141,98W 287,00D906,93CW 4558,
09 KY5657,06 CW 7495,91 KK 4143,95 L 1713,04 G1728,96 LS8004,95TN 234,90 DL 4672,
04 LD 4808,94 WD 1579,94LH 6439,11DL182,11WD8931,03 C1160,09 WW1399,06CW 4151,
01 D676,93 W 172,94 TS 4340,01L 428,90MN5872,01LD5198,10 LM 2281,12LD1133,
99D 9461,94 CE 3562,96KY 6613,08LS 4191,06 OY 2884,05KK 1720,95LM 3748,94LK9610,
08 OY2480,94 TS8265,00 D 1854,10 LK8441,95L520,05 MO 4812,00KY 7131,99KY 7392,
07LK7653,02LS 9012,02 G 8564,10 DL 7601,95 L 1849,93LH6634,01 OY 9603,02LD8189,
12 D 4217,92CE 3669,96KE8861,93 WW 3913,06LS6480,00TS5243,97RN 9554,93 WH 1469,
09 MH 8310,04CE5341,00 LK 9153,92G 811,09 KK 5272,93KE 168,06DL 6515,03OY6205,
02 OY9657,94LK 8434,06 LK 3586,08G6702,97 LS7164,91 SO 3756,09OY2716,08KY 7157,
11 CN2039,05W 7909,08G 8592,02 RN 9035,93 LM2081,94 MH 8784,11TS5829,07CN4816,
05WH2734,02 L 3497,91KE9366,93KK 1025,93 CN 6343,95W5352,11 SO 4997,93 TN 2638,
97KY 8648,06C 3142,02DL 1568,10 D 5934,08OY 9552,10RN 2553,08 LM 4680,00TN7715,
00 TN 9306,10 KY2416,05 WH4093,94 G6284,00 CN4370,00LS 2946,94 OY3421,97 TS 3503,
98KE9409,98 L 9170,01 MH1224,06 TS 7885,97 LD3155,01 KE 329,99SO 7091,05 LS5737,
97 MO6159,92 SO5175,12 LH4980,10LS 1059,03 MH7891,09 TN3816,12LM 8673,09LD 5190,
06DL9033,98OY 9018,11LD 991,11 KY 3942,98TS 2368,02 LS3735,92KE9174,91 LS 3373,
10MN2218,03CW7004,09 LK 3704,98 CN 5259,08 L 8029,08 L7351,10 L6724,01TN 9839,
91KE 2381,02 KK 1326,03LH9265,94 KY 6437,94 LD7477,00G 4921,02CN3430,96C 2211,
97 WD6996,99OY 7252,09 DL 6876,02 MO5447,98G 2038,06 MN 9088,91L 2063,06CE 2559,
10CW897,94 SO3611,08 TS 1948,98LD7264,02W2351,97WH3124,10OY 7147,92 KK 6281,
10WX 1269,11WH 3295,95 CW6886,12LS8316,99TN3441,11 WX 6032,96 MH 7516,96CE 2101,
94SO 3770,96 KK 3078,08KK 7820,06D4815,03 WX8183,05SO 5007,11 LS 9911,92 G 4319,
94KE4973,97 LH 4479,01MH8084,93SO7341,91 LK5646,99 LK8272,97 WH5688,92TS961,
97WD 8825,92KE9948,03CE1792,12 KK 6583,02 LM3225,00OY 3794,96MN 5209,04CE3940,
02LD 7331,97 LK 1112,10LK3314,96RN 7588,01 LD4031,93MH1883,02 WX6983,05MO9881,
11LK8132,91 DL 8353,92KK978,02 DL 2435,10 WD 3480,11 D 2190,10RN1133,07 MN2731,
91 WH4205,00 KK3482,04 D5809,10D3690,91W 1510,01KE 8109,09CN 9243,98 MO1780,
03 MH 3350,98 TN9742,97 G8645,06KE 3540,11W9391,06KE4090,03 LD 5191,94 MO 1255,
11TS 7677,98 MO 5927,01KK1427,00MH5984,97 MO 2574,99 CE3860,94C3983,00 TS 81,
96TN 5791,08WW 3850,96 WD 1001,09 MN1965,95CW 3492,04MN 85,00 MN8219,98 LS 2971,
92 LD2852,08 L 936,01LD 6244,10DL 9818,98SO 814,93 MO8461,92KE 4220,94 TN6467,
11LS6221,91 LS 2189,09MO1836,99 C 5938,10CE 4036,99 G 1743,06KY 2392,99CN6063,
99MN 6891,08 DL8288,95L4498,01TN 3018,10KE 4910,91MH1726,08 LS8918,92TS 3046,
97WX 9374,99 LD9086,91 WD19,01W5773,07WH9609,91 DL9689,01OY 8331,02 CW 2190,
98LM 5273,12 L4241,11W1884,92 WX6514,05 L 8110,96CN 8297,07WX 9028,05 MN 3927,
96 L8201,96 MN5266,05 C 4839,02KE5454,10 RN 9714,90WH 478,02CW 6331,93 LM7144,
09MO275,10SO 5742,90MH9197,94MH 3141,98 MH6172,91 DL 3283,90 C122,05LS1215,
01 KK 2845,99 CW8952,95 LH 4212,95 LK 4890,04CW6332,09 LK7238,99TS6663,99 SO8427,
06 D6689,91RN4695,04 KY 1340,94OY 9597,00KE8789,04 G4184,07 LD6637,93KE 416,
11 MH9339,98 CE 9534,94MH718,05KK7832,03 KK 1456,94 OY 9128,98 OY4003,07 CN 4741,
99TS 9756,97DL 7254,11DL6658,98 CW 6568,94CE9498,90DL 4106,00 WH2723,11 LH 258,
06LS3036,08 SO 8754,95LK 508,10 SO 457,91MO 5613,02MO 4564,04D945,92 RN2385,
95 KE 339,00WD3166,09 KK 1657,95WH 2012,11WH9048,07RN 1268,04OY 4686,93 CW1928,
95 CE 1758,05LH 4436,05SO57,03 WX 5602,07MO2352,03SO3246,10 LH5625,02 CN 3578,
93TS2300,92 TN139,04MN6039,98 WW 2612,91 WX 7262,01WX9785,99 MH 34,01 KK2720,
09TN 3681,97WH1765,05 LS5764,92 WX7684,91LD3710,95 WX1966,93DL8445,11WH1688,
00 D 7136,99DL 8266,04 RN3123,91G8395,03OY8362,10 WX 6763,96W 8123,00WH 9095,
09WH4938,08 KE 7090,03SO 1411,98 WH3271,08 DL 1659,02WH9213,01G2894,98 LS8376,
02CN811,98LH9477,09 CW589,09 WW5510,02L 4783,95 WX 657,01LK 7417,07 G 4165,
97 RN1952,08 MO9276,98 LD8462,10 LS 2310,99D 525,98 G3562,08LK5475,90D 7657,
01 L7832,93 LD 7030,09 WH 6589,99CW 2168,11MO 4454,93KK 5938,94MH 4329,05 RN4575,
12 WX3498,02G 3594,97 W4235,12 D 5040,98 RN5387,97KE852,95 KK 9734,05WX 1873,
03 TS7547,03KE 46,02 WH 6210,09CW 2755,05 L 6557,09 CE9042,02 CE8675,07 TN1818,
91L7488,11MN 3143,06LM2896,91RN9547,99 C 1453,97 MH5156,09CE 9386,99KE4576,
04CE7669,10CW 8081,94 WH 3280,09CN5104,01KK769,05LH 603,93 TS739,03MN 2944,
91MN 7482,96 CW2823,08LM4332,04L5002,91 G 9403,12 W 8537,07 TS5551,07 KY 5338,
03RN27,04 C738,99 OY2529,10 SO5927,04MH 4969,04WX 8983,04LM4915,06WH 5704,
09CN 3932,94KE834,90 L 5858,94 LH5545,98WH1729,96TS4597,12 LM3077,97WD1457,
95LM 3541,07 WD7312,08W7108,96 D 9419,06WD6438,11 CW91,93 W 4976,99 WX3089,
95W 5140,94 LM2727,07C 1785,97LD 9849,06 KY5022,07 L 809,96DL984,96KK 1592,
10LM9432,11MO 1487,05WD 6451,02L 4022,02WW 1519,11CW 8480,12 CN5930,96KK 2297,
07 C 2960,08 SO 2981,92W5833,98KE1341,98LH 3269,04LS 4643,03 KY1990,92 L 6306,
96G3650,11 DL6055,00MN 9492,99KK2348,92 LS 8760,95WW 4751,93LS 7478,08TS 3105,
11 D 8208,05KK9130,92CN 1402,94WX4081,06G 7099,93KE8480,94CE6154,09 LK 524,
96 CE1527,03WD2692,01W 8233,95CN9280,93TN540,98OY4227,12 CW4080,04 SO659,
03 L 817,01 KE 3426,00MO 4687,11TS 9318,00 RN4022,99 OY8316,12 WD 3615,01OY 2899,
93MH 9666,96W 1756,09 WX 6667,08MH 3223,92CE8160,03 SO1931,07RN6619,96MN 7679,
08 LH 9698,01 LM7032,92CW 5652,08LH 7701,01 WW 4634,98 MH1253,90G1426,92 MH7107,
91KE 53,96LD7139,11 WD46,94TS5522,08 MO5420,97 TN8845,05 WH 664,96G1080,
93 LK7351,10LS 1773,00WX1854,08L2158,00CN 9809,04MN 6773,11 OY 9496,01WH 41,
10 LM 1386,09 MH 1150,03OY 9502,91 CW 3055,02 MN 5667,94MH4463,00 G6340,06 WX7994,
03MH 4179,95 TN4404,90 LD109,96 L6432,99 WD3861,03WD6823,06D645,09WW 1922,
09 W 2648,10 WD4431,02 LD7032,06LK 8971,06 KK 7323,96 CN626,03 RN4797,00 RN6226,
94LD7545,06OY 8434,04 DL1027,97LM4296,10 D 8677,12 C9657,97TS9728,09 WD3335,
91WW 3889,97 C 5932,94CN 5812,08LK 6614,91DL 2885,11TN1653,03MH6277,05CN 4109,
00 CW 554,04 MO8484,96MN 1384,01 MH4414,91 CN3845,05MN2500,03 KY 6902,04LD4166,
05WW 9248,10 RN 7901,01 MO883,08 LK1589,99 CW 6407,03 LK5759,02LM4791,01MH4778,
92 SO5549,04 LH 2180,06LS9349,94 LK 5879,97CN7734,94 KK 7968,94 LM9958,00 WD9456,
02TN 7196,03MN 935,95 MO 5174,10 KY7010,09 L4458,91SO 2762,97LK4386,12WD 9860,
08WH 7352,05CW4586,03MH7570,94 CW9411,97 LS 4577,01KE9310,01 KE781,05 TN 7177,
01 DL 3002,00 LM 4048,95 OY 5890,05LS 6902,09 KE 5549,90 KE3077,10TN 2027,11 CW7576,
00MO1215,92 CN 187,94 RN9100,93DL 9217,07 KE2505,91CW 9414,11 LK 892,99 WX 2910,
94MO 8431,11L4801,91 CW 6240,07LS2771,91 OY3049,94WD3000,94 CW2068,09WX 254,
11MO507,92TS7389,12LK 1184,00 CE 520,95G 7575,12 LD 8614,92 LD 1108,10RN 6448,
98LH3671,91 LK4451,10 G7521,09 OY 8334,05WD 6563,97 KK 1285,10SO7334,95KE 6261,
10WH 9127,99L 586,08MH 1888,93CE7741,00WD 8770,11 LD 6283,90LD292,12C5307,
10MH 6474,98WD 3154,00MN 6554,12 TN 7423,99 RN6802,06LD2005,95DL1801,09G1352,
90 W 3641,96 WX4740,92W4596,97 TS8367,05MO8972,98LS1216,03MN8207,03TN148,
02 WH 3542,03CN198,99 DL3474,03 LS 38,93 LM8918,95 MH 8701,00 MN 9870,96TS 4418,
03 WD 142,99D 7516,12WW5337,00 RN 7456,04KK 6915,11 DL5797,97D 7480,94RN 7125,
06LH9121,01 WW 4277,06KE 4864,96 OY 1575,01 WH 9321,97MH 4831,96 LM 7262,96 KK2670,
03TN 848,05CW3952,06LS7980,08 LK7824,01 KE5116,02 D 8969,01 LK9651,06KY2134,
00LH5837,98D8807,02 G7249,95RN219,03WW 968,02C5491,11LD8492,04 MH1217,
99 TN 5413,91LK8665,01W2277,02 CN896,96WH 8775,04 DL 2976,01WD343,11 D 1983,
04 TN2746,96 CN 7282,10MO 5937,98 RN 7490,92LD2135,99WD5439,01TS 5959,92 TN 2070,
93 KY 1977,93 KY 604,09 W9748,91 OY3206,92 OY666,00LK8900,10 LM 8514,94 LH 7473,
90 LM5619,96KE 3658,95 LS4211,08 RN6971,05 D 3660,01LK8403,05LM 5635,11 W7556,
07CE2931,91 TS 5328,00 WD2436,03 SO 3580,09 KK6981,94 G5998,92LH 4829,00 WH3401,
92WW4453,10 CN2789,98CN7875,09 LM 6176,96WH9667,08 D 2679,98OY 4353,00CE3150,
07WX416,06 SO 9838,01LH9489,10KK5974,05OY9183,02 WX 9807,04W4120,05 D461,
09 MO3200,04 TN 5900,99 WH152,00WD6607,04 LD 6765,01WX 8010,08 LK3694,12LS 4710,
02 L 6550,04W4944,01SO6624,04 LH 2971,07KE6804,98 D4062,12 CE6953,06 OY4076,
91LH6737,92 RN 6093,00MO 1928,96CN 6956,08MN6716,94TS 8773,00 MO5486,96CE 5140,
99 KY3373,96 DL162,97 RN 3411,97WD 4950,94 MO6236,05 LD 1379,93W5299,07 CE5134,
92MN50,95 KY8894,07 LH 2356,96SO4484,96 WX 7594,11KY 8436,07 KY3894,12OY5461,
96LH7528,99 CN6158,95 LM3430,93WH 9920,10RN 502,11 WH7748,96KE7299,05LM7641,
97 KK4647,03OY2845,07 RN 4806,01 RN9554,06CN8411,98 OY313,90D 9112,95LS 5292,
92 TS 4662,03CN 9738,10CE2275,05CE9012,07KY4986,93WW 5803,92 KY 6138,06 TN 8291,
90 KY7204,07W5124,11 LM 3166,12 KY 8337,07TN2221,97W9603,00KY 7670,98KK7752,
04MH8556,99 W 6361,93LK 8402,92DL 2636,10KE4164,10C1882,93G8018,06CN2942,
94 D5434,07L 7218,94SO 3500,99CW 8674,90 OY2697,01 W1733,96 SO4320,08 LH3773,
02 LK 9983,05MO5198,10D 1842,00CN 2306,04RN4288,92WX1880,05 TS 4231,11 KY5012,
99OY6175,90 TS5624,91KK6048,08 CW 4110,95 LH9198,07LH1962,90WX 547,93 MH825,
94 TS 293,04 W 1740,94MO5747,96 LS3128,08 KE7061,07SO 890,92CN 2336,07KK795,
06 KE 719,11 RN 2591,02 CN2590,05CW 1081,05 LM 5296,02W1305,99LM 4661,10 MO 1058,
90CW 4711,95 L2927,09L5808,99 WH 1947,92 D9285,12 G 1630,10G1435,09 WD6672,
10 TS 2355,08CE1905,91G 4151,95 WX4280,06 KK 5786,03TN 3726,04 TN8509,97 RN3860,
92 D394,10MH 9830,00 KY 2510,93 G 6166,07DL3485,94LM6664,03 MH 6551,97 CN3261,
99 TS 1145,94 KY4711,98L4063,09RN 5175,11 TN7180,92 WH9623,04DL5775,96W7822,
97OY4171,04 MN2869,09TS 1245,00 LM8223,12WH 4507,05KE 9408,99 LH 7113,03 OY1460,
01MO 926,98 RN374,11W1378,98 LK 8695,02 DL6665,93 WX614,93 D6886,11 CW 7125,
03WX 5051,97 CN4561,95 L 5272,12 LS737,08 KE 7097,95MH 8926,04D 4536,00TS5414,
10 MH 3537,96 W7377,08WD9627,93MH 3082,94 KE4547,97TS 590,01 LM5521,01 MN 7335,
94CE 6427,10 RN4825,06 WD6537,98 CW7308,93 SO 9458,91 LD3516,10 MN3901,07LK 7397,
04L 5272,92KY 9262,08KK5944,05 KY7900,11 WW5163,90DL8081,07 L 1722,08 LS5616,
97WX3023,12CN3806,90TN 9334,08LH 3998,97CE7776,95LS 8084,91WX4745,91G 9603,
09 LS563,08 MO609,94LD 5524,01 OY 5223,93 LH 1282,99 SO 4898,94KE 6601,97 C353,
08 RN 7563,10 WD 7254,95 KE1827,95 WH 6457,03W6725,08LD310,08 LD5944,91 MN7855,
95MO 7882,92CE 8046,95 TS 6447,93D8966,94 RN6970,01 RN 6061,02G 3658,91MH 5194,
91 D2167,90KY 9431,97RN 411,12KK7731,98 MN 959,03 SO 596,95 LS9707,91 LD2225,
01 D 2886,91 LS1319,94WX 9845,08D7401,00LD3937,09 KK 6025,06CN 1689,07 CN2505,
08 G9469,10 C8567,11 MN 1945,03D 1718,94CN2562,11WX814,95 LS 9658,96 L 9571,
12 MO 3763,06W 9372,06 LD428,91MN3822,01 OY 6363,93LH 6194,06 L 4306,98 TS1235,
03 WH8473,99CW 9843,10 MO 8815,95G7300,01 WD 9490,94MH6830,93 DL8036,11KK2989,
07 SO 3830,96 WX 6494,10 KY2348,11 L 380,06KK 9195,00 CN8714,07 MO 1053,92WD 4197,
12 D122,04 WW 930,06DL 1861,03L 8132,99 KK9988,97 TS9830,06 LM6980,98 G3170,
93 MN 6341,02 WD3482,93OY 5435,05 LS84,06CE 4927,03 CW 1571,94LD5125,93L 9768,
91 WD7599,90C5042,96 OY6151,92 WX 3102,07 DL7969,01 WW1427,07 KE8929,08D 6684,
99WD 6530,11 LM 8859,06KK6764,95 LK 1962,93 WX3847,92DL 9960,91LS 2689,99MN2997,
91 CW 6364,92 WD6559,95 DL 4612,96 LK2445,05CN 4390,90WH7555,96 WW1117,98SO 6173,
98 LS5877,97TN5130,96 SO2591,07 L4387,08LK2772,11G8964,09 WX 8803,95 LM1124,
95LK 8900,01 CN4162,00 KE 4504,99WX 4528,09 WD9589,07 G6162,96 D9167,99MH 7450,
08LH3598,91LH 5061,05 LD5622,10WD1570,91 SO 7253,96 KY2500,09 LH 4944,94CE8525,
09MH 9197,07CE 6523,04MH1752,00C8303,96 SO1611,03 WD3682,95 RN 4799,99LS8527,
09 WX371,00 LK3018,05WX2655,09 KK8213,06 KK 2258,10 CN3569,99 C3129,98 KK 6065,
97 TN 1965,90 CN5529,07 DL 8126,94 RN 6414,04RN 5491,02 KK 5304,93 RN2621,96LH 5542,
97 LH 9275,96 KY 6332,06 CW7554,94 KE 7328,99OY6326,00SO793,10 TN1644,97DL9856,
00 W 1559,02 LK2043,94G 6281,05MN 3971,02 LD 8545,03 SO4021,08L1037,01KY 614,
07 MH 8971,02 G 1709,11 CE 4589,05SO6222,07LS 4212,03CE6234,12MH7370,03W4445,
12 KE5648,04C 9205,97MH7631,04KK7994,10RN 6602,93 OY3478,05 CN 2248,03 LD6597,
06 LS4094,93MN 1674,92 TS 7117,94MN5641,07 OY2991,09 SO9512,95LH9717,11DL5402,
93OY8601,93OY 8282,10WH8094,93LM2521,96L 6241,03WH9603,04 G6362,11TN3769,
04G7882,98 TS 6057,93LK6622,03 D 7083,11 LK 6651,98 C 3204,07 LM 1151,94 CW 6336,
98W9602,04 C 2038,94 LS6677,05 G 4364,96 G 7986,11RN6028,07 LK4599,11LD 3407,
12LM 2032,06 MN3523,06 L 7102,02 OY 3273,09L4160,00L4532,08MN9328,02 LK 5309,
01SO 488,99 LH 658,02KK1916,01 TS4553,12 WH 5491,11 KY8298,08 KK 6594,03 WX 3303,
06 WD 8773,08 CW8128,96WH 9812,97WX 6800,01LM 6003,12 KY 8349,92 TS 5831,05LK 5680,
05WW 8314,96KY5208,98LD1165,10MH426,99KE 5689,99 RN 1875,90 LM 6817,99 LM 179,
99 LD176,09LD5930,08 TN3352,09 MH 1928,02W4205,99D6406,10KE 6500,03KY6350,
01OY7660,00 CN 3630,02KE7739,96L 3389,95KK 4928,00 CN 8921,02MO5077,09 KE4015,
03 MN9685,01SO6625,98 KY 4114,99WH4549,12 CE 825,12 MO7908,96SO 8377,09 W 6430,
06LK7635,98 RN4281,02 G916,95 DL 7348,06WD6080,99 MH8881,07 OY 6141,10 G 9306,
04CE 876,10LK5232,98LH2074,04 OY 5331,03W9926,98LH6364,07 LS8241,03L 9316,
06 CE 8635,97TS 2006,07 G3768,90 L 2786,97 MO 1623,06W 7846,94 WH3443,97W 8212,
12 OY8441,92 DL 8811,03 W6940,98OY 1001,98 MN8026,99KK 7721,99SO 7748,09D1190,
94TS3814,93 WD1754,01 LH 3873,97KY1524,09KK 7703,95 OY 1711,07RN1907,08LS640,
03 W6403,94WW 3225,09WD 9653,01 TS 8809,95WX8022,99 SO4791,90 LH 174,95 LS 8913,
90 WH281,06MO 4734,93 L1854,95D 7133,12MN 4178,92KE 8116,96KK 4859,98CW 6227,
94WX 8553,98 WD 4935,00 KK 4231,10G9155,01MN 1590,03 WD 2964,08CE3761,98 L2360,
00TN 5031,08 LD2106,98 LM2784,96LM 6020,07 LM5621,97 WX2189,07 CE51,08 MO3250,
05 KK6113,95 CW2840,97 OY4972,98 MH1371,05LH 5063,11LD 2215,05 CN6660,03G 6146,
98LS 599,93C 1210,92 CN 5436,92WH 4165,06 CE8324,07RN1057,09 G9777,93G9434,
09WD 7630,95 TS 5152,10LS 4012,99 L7672,06 TN 3789,97 WD 391,94WW8479,90WX5778,
98 D 5435,94SO 9342,02 MN 4390,90 MN 4536,11 D 8258,05 KY2167,04 LM107,10 CE 9694,
92MH6095,04MO 6313,04WX 4220,96 WX 282,01WH9957,91 L2795,08 OY 3431,94WD3219,
04TS4014,93DL 66,99 WH 9983,91D 160,10SO5019,11CN384,96DL4194,11 KE5771,
02CW8286,95 L8949,05 MN 2463,07LM 6698,08 LS 8911,98 W 3061,01 L 83,02LK6863,
05MN1669,04MH7052,05 KY1121,92 WW7856,11LD6749,11 CE8879,04DL4715,10KK2792,
99WX1340,96W5864,94LD 8207,94 KK 8150,00MO8927,10 LM 308,00 D 2709,98 LK 927,
03 D 9149,07MH479,00LS5930,02WX 7647,03WH 1036,04L8816,04 W 393,02 LH7748,
03WD 1551,11 CE7072,11 SO 2482,96TN6199,93 RN 9480,09 MN7587,06WX 9244,99WW 9255,
90KE 1910,96 KE 948,99CN 5276,09 L 2810,11LD6783,04 SO 2811,09RN 1621,90 MH4880,
99 W 393,91RN 6868,95LK2185,93 L2509,91 RN 2977,08 C6629,01WH840,92LH8542,
02 DL9116,05LS5962,95TN4118,05 SO 5616,96 L2065,01 MO7192,06 KK 203,10LS2977,
92LM 2773,92WH 5943,98 MN4749,91 C6787,92 MN4973,03SO 3862,96 LM8013,00MN5962,
00WD7397,97TN3920,05KY 5723,07 LD 3719,90 RN 2951,06MH 8051,09 MN 8174,00 DL 9593,
98MN2509,06 CN 3529,99WH 8153,02TN 7885,99 W 7861,09W 2729,91 WD 8416,04WD 6217,
92 W4295,03 D670,96OY 3734,92 KK 2214,11CW 8309,03KY 6072,95 MN748,95 MH7179,
04 CW34,98G 4590,90WD1290,96LK 3058,07KK3042,05LK 7297,94 WD1185,92LD2999,
02 WX6470,04 SO 3584,02LD7080,09 WH6359,90L5589,09KY 5161,07CW 8336,10LK 6122,
08 DL7321,07 LS7051,04LM 9678,11OY 394,92 CN6561,99 WX 2149,93 MO2907,91 CW9865,
00 CN7614,99 MN 8190,99 WD2750,93SO9958,04RN 2576,91MH9855,03 MO2700,92C9706,
06KY5052,92SO4066,11L1540,95 MH9409,09 TS 3237,96MH3563,90KY 181,98CW5531,
91 LK1099,97RN2328,11KE1408,04DL4414,99LK 127,91DL6530,06WX 2178,05WX 5985,
11KY 6988,10 WX 6320,93 CE 9209,08LM 4806,11 WW 4251,05D6993,95 WX3782,95 CE 8565,
98 C 2342,93LK 2851,05SO865,03 KY 3437,09 WX 878,02CN3390,08 L1031,92TN 1563,
02TN6592,03DL 9377,08TN914,94 WD 8384,10LD 3225,95 W5821,03DL 9426,08 C6517,
95KK 5915,07 MO 9864,98SO 2401,94LD 8426,06WX8931,92LS 4244,12SO 7881,91 MN 2297,
91WH858,08 D 1068,99KE7889,04KY 4137,06C 5769,95 MO6414,03SO141,08 L 4443,
93LD 2362,08 LD3510,06OY4940,08 TN 9512,99MO5523,95 WD1084,01MH8261,97 TS 5913,
96LK6376,95KE 3904,07 KY1863,01LD1491,02 W7509,08LD 4461,97 OY5226,12 RN7852,
05OY 9752,96 WH 8276,98 CE2074,96 OY 7259,04 W 5654,08 WX 438,11DL6247,08LM1531,
95 LS 2625,96MN7552,93 TN 7870,03WD1723,96 CW 5590,97OY7599,99 SO 837,90MN 5071,
92 G 4960,09DL 9862,07 OY 6941,96 LM34,04 CN715,02TS 8518,98 KK218,03 TN1109,
05 LH7485,99CW 6326,02 CW 7442,01 CE 2537,97LK8653,12LM9337,03KK7142,01RN 4011,
07CN 9670,07G 9568,05 D9952,95WW 2044,98 KK2074,92W163,93C 7690,03OY7793,
